UID,Explanation
c7a774a1-5500-488b-a1ba-8a22063b245f,"Models have a hard time generating small faces and when there are lots of objects (humans in this case), they tend to morph."
88cfbbde-3f91-41e2-90a1-017b9ecee0d9,"Chinese censorship, since the best open source models seem to be coming from them."
5417bcb1-780d-4c25-9400-05fd961ddbe5,"Eiffel Tower is a common subject so generating it out-of-distribution like bent in this case is challenging."
ec96014f-2261-4484-827d-22d16a349008,"Some models can do a few words but only the best can do a paragraph without running into trouble."
78bad47c-3100-42e8-8f7a-8af8283f175f,"Landscape aesthetics."
351d414f-026e-4a55-a991-101896eacc72,"Picturing the same subject under different lighting while keeping the details same is challenging."
aa04e6ed-a43a-479c-a2a3-74ca255004fa,"Real world knowledge of objects is important when you are trying to make the image believable, or you end with GTA cars."
80a63809-86f6-449f-844d-d6e5df161211,"Challenging composition with the steam and water reflections."
ad69785c-eccc-4d47-92b6-0cd3c0e83a82,"By far the most challenging prompt here, see the reference to understand what it should look like."
54abe5d6-5d40-4558-9f09-9c1a12b4bf84,"Real world knowledge of real people."
001d63f5-dcb6-46ec-bf0f-390c70907e0f,"How does the model generate a diverse group?"
1c326f49-5ef9-4dae-827f-347f1fe52dbc,"Expressions can be underwhelming/overwhelming in AI generations, it's important to get them just right."
3a4324bf-e54a-4a5f-94e5-77c6adb4aff5,"It's a challenge to know what the logo looks like and to be able to reflect it correctly"
1aeda8a1-87bf-45d3-96c8-ab878760119f,"It's important for the models to be able to have good anatomical knowledge and Adam and Eve are a socially acceptable subject to test for this. It's also challenging for models to create a realistic photo instead of a painting."
e43b3a4e-8d93-4984-946d-484f9ffb7ad9,"Lighting is underrated, it can make or break an image."