UID,Comment,Point
001d63f5-dcb6-46ec-bf0f-390c70907e0f,"Nailed it",2
1aeda8a1-87bf-45d3-96c8-ab878760119f,"Too cartoonish",1
1c326f49-5ef9-4dae-827f-347f1fe52dbc,"I should make a YouTube thumbnail generator using this",2
351d414f-026e-4a55-a991-101896eacc72,"There are slight inconsistencies",1
3a4324bf-e54a-4a5f-94e5-77c6adb4aff5,"Pretty good",2
5417bcb1-780d-4c25-9400-05fd961ddbe5,"Very cool",2
54abe5d6-5d40-4558-9f09-9c1a12b4bf84,"Nailed it",2
78bad47c-3100-42e8-8f7a-8af8283f175f,"The rock landscape and the composition of the balloons aren't realistic",1
80a63809-86f6-449f-844d-d6e5df161211,"As good as it gets",2
88cfbbde-3f91-41e2-90a1-017b9ecee0d9,"Yep",2
aa04e6ed-a43a-479c-a2a3-74ca255004fa,"Nailed it",2
ad69785c-eccc-4d47-92b6-0cd3c0e83a82,"Complicated yoga poses violate content policy",0
b523278b-4818-497f-bc86-dab4d96c560b,"So close but 'OF THE CITY' is a giveaway",1
c7a774a1-5500-488b-a1ba-8a22063b245f,"There are too many head on collisions",1
e43b3a4e-8d93-4984-946d-484f9ffb7ad9,"Pretty good",2
ec96014f-2261-4484-827d-22d16a349008,"No mistakes but the composition and the uncalled tildas are awkward",1